11.00	1200	1325
12.00	1150	1265
13.00	1110	1201
14.00	1060	1150
15.00	1005	1080
16.00	950	1040
17.00	918	978
18.00	834	951
19.00	794	870
20.00	738	827
21.00	707	771
22.00	651	715
23.00	607	657
24.00	556	608
25.00	506	556
26.00	464	522
27.00	420	453
28.00	374	405
29.00	333	350
30.00	288	303
31.00	243	246
32.00	195	197
32.50	171	172
33.00	149	147
33.50	127	124
34.00	105	103
34.50	89	84
35.00	76	70
35.50	73	67
36.00	78	73
36.50	87	86
37.00	102	101
37.50	115	117
38.00	134	137
38.50	151	161
39.00	173	186
40.00	216	235
41.00	258	281
42.00	303	329
43.00	351	376
44.00	394	433
45.00	436	482
46.00	484	536
47.00	536	589
48.00	583	639
49.00	632	689
50.00	685	753
51.00	734	799
52.00	787	866
